;Depth;;;;;;;;;;;;;;;
;0;0,1;0,2;0,3;0,4;0,5;0,6;0,7;0,8;0,9;1;1,1;1,2;1,3;1,4;1,5
Profile_1;100,046729;97,19626168;94,39252336;122,4299065;120,5607477;111,2149533;143,9252336;142,9906542;182,2429907;171,0280374;200,9345794;231,7757009;212,1495327;205,6074766;184,1121495;192,5233645
Profile_2;200,8411215;138,317757;136,4485981;155,1401869;178,5046729;138,317757;147,6635514;176,635514;189,7196262;193,4579439;219,6261682;229,9065421;238,317757;240,1869159;171,9626168;257,0093458
Profile_3;193,8317757;117,7570093;126,1682243;153,271028;171,9626168;150,4672897;165,4205607;174,7663551;164,4859813;184,1121495;236,4485981;242,0560748;262,6168224;241,1214953;200,9345794;225,2336449
Profile_4;190,4672897;106,5420561;136,4485981;185,9813084;190,6542056;187,8504673;223,364486;219,6261682;233,6448598;216,8224299;251,4018692;280,3738318;272,8971963;229,9065421;272,8971963;275,7009346
Profile_5;174,2990654;113,0841121;133,6448598;210,2803738;210,2803738;222,4299065;259,8130841;271,0280374;265,4205607;282,2429907;285,046729;297,1962617;300;271,9626168;294,3925234;269,1588785
Profile_6;120,1308411;119,6261682;157,9439252;194,3925234;215,8878505;221,4953271;267,2897196;277,5700935;290,6542056;291,588785;320,5607477;309,3457944;295,3271028;310,2803738;281,3084112;285,046729
Profile_7;88,78504673;128,9719626;119,6261682;154,2056075;189,7196262;192,5233645;271,9626168;289,7196262;268,2242991;265,4205607;296,2616822;296,2616822;295,3271028;312,1495327;294,3925234;279,0654206
Profile_8;114,953271;130,8411215;142,0560748;183,1775701;189,7196262;241,1214953;254,2056075;253,271028;250,4672897;238,317757;274,7663551;294,3925234;269,7196262;261,9626168;225,2336449;208,2242991
Profile_9;160,7476636;183,1775701;197,1962617;271,0280374;275,7009346;261,682243;253,271028;280,3738318;278,5046729;259,8130841;254,2056075;254,3925234;243,5514019;223,8317757;223,271028;186,9158879
Profile_10;163,5514019;157,0093458;176,635514;230,8411215;262,6168224;269,1588785;256,0747664;236,4485981;267,2897196;249,5327103;266,4485981;235,7009346;220,4672897;206,0747664;199,0654206;165,4205607
Profile_11;112,1495327;143,9252336;134,5794393;221,4953271;204,6728972;238,317757;232,7102804;226,1682243;249,5327103;266,3551402;285,046729;275,7009346;284,1121495;280,3738318;266,4485981;174,7663551
Profile_12;116,8224299;100;115,8878505;173,8317757;136,4485981;122,4299065;205,6074766;182,2429907;220,5607477;234,5794393;255,1401869;281,3084112;279,4392523;303,7383178;259,8130841;207,4766355
